sec	CH1	CH2	CH40	CH41	
6.159	-0.0390625	-0.00488281	177.515	0.338	
6.1595	-0.0390625	-0.00488281	177.515	0.338	
6.16	-0.0415039	-0.00488281	177.515	0.338	
6.1605	-0.0439453	-0.00488281	177.515	0.338	
6.161	-0.0439453	-0.00488281	177.515	0.338	
6.1615	-0.0463867	-0.00976563	177.515	0.338	
6.162	-0.0463867	-0.00976563	177.515	0.338	
6.1625	-0.0463867	-0.00976563	177.515	0.338	
6.163	-0.0463867	-0.00976563	177.515	0.338	
6.1635	-0.0463867	-0.00976563	177.515	0.338	
6.164	-0.0463867	-0.00976563	177.515	0.338	
6.1645	-0.0463867	-0.00976563	177.515	0.338	
6.165	-0.0463867	-0.00976563	177.515	0.338	
6.1655	-0.0439453	-0.00976563	177.515	0.338	
6.166	-0.0439453	-0.00976563	177.515	0.338	
6.1665	-0.0439453	-0.00976563	177.515	0.338	
6.167	-0.0439453	-0.00976563	177.515	0.338	
6.1675	-0.0415039	-0.00976563	177.515	0.338	
6.168	-0.0415039	-0.00976563	177.515	0.338	
6.1685	-0.0415039	-0.00976563	177.515	0.338	
6.169	-0.0390625	-0.00976563	177.515	0.338	
6.1695	-0.0390625	-0.00976563	177.515	0.338	
6.17	-0.0390625	-0.00976563	177.515	0.338	
6.1705	-0.0390625	-0.00976563	177.515	0.338	
6.171	-0.0390625	-0.00976563	177.515	0.338	
6.1715	-0.0390625	-0.00976563	177.515	0.338	
6.172	-0.0390625	-0.00976563	177.515	0.338	
6.1725	-0.0415039	-0.00976563	177.515	0.338	
6.173	-0.0415039	-0.00976563	177.515	0.338	
6.1735	-0.0415039	-0.00976563	177.515	0.338	
6.174	-0.0415039	-0.00976563	177.515	0.338	
6.1745	-0.0415039	-0.00976563	177.515	0.338	
6.175	-0.0415039	-0.00976563	177.515	0.338	
6.1755	-0.0439453	-0.00976563	177.515	0.338	
6.176	-0.0439453	-0.00976563	177.515	0.338	
6.1765	-0.0463867	-0.00976563	177.515	0.338	
6.177	-0.0488281	-0.00976563	177.515	0.338	
6.1775	-0.0488281	-0.00976563	177.515	0.338	
6.178	-0.0512695	-0.00976563	177.515	0.338	
6.1785	-0.0537109	-0.0146484	177.515	0.338	
6.179	-0.0561523	-0.0146484	177.515	0.338	
6.1795	-0.0585938	-0.0146484	177.515	0.338	
6.18	-0.0610352	-0.0146484	177.515	0.338	
6.1805	-0.0610352	-0.0146484	177.515	0.338	
6.181	-0.0634766	-0.0146484	177.515	0.338	
6.1815	-0.0634766	-0.0146484	177.515	0.338	
6.182	-0.0634766	-0.0146484	177.515	0.338	
6.1825	-0.0634766	-0.0146484	177.515	0.338	
6.183	-0.0634766	-0.0146484	177.515	0.338	
6.1835	-0.0610352	-0.0146484	177.515	0.338	
6.184	-0.0610352	-0.0146484	177.515	0.338	
6.1845	-0.0585938	-0.0146484	177.515	0.338	
6.185	-0.0561523	-0.0146484	177.515	0.338	
6.1855	-0.0537109	-0.0146484	177.515	0.338	
6.186	-0.0512695	-0.0146484	177.515	0.338	
6.1865	-0.0488281	-0.0146484	177.515	0.338	
6.187	-0.0463867	-0.0146484	177.515	0.338	
6.1875	-0.0463867	-0.0146484	177.515	0.338	
6.188	-0.0439453	-0.0146484	177.515	0.338	
6.1885	-0.0415039	-0.0146484	177.515	0.338	
6.189	-0.0390625	-0.0146484	177.515	0.338	
6.1895	-0.0366211	-0.0146484	177.515	0.338	
6.19	-0.0341797	-0.0146484	177.515	0.338	
6.1905	-0.0317383	-0.0146484	177.515	0.338	
6.191	-0.0292969	-0.0146484	177.515	0.338	
6.1915	-0.0292969	-0.0146484	177.515	0.338	
6.192	-0.0292969	-0.0146484	177.515	0.338	
6.1925	-0.0292969	-0.0146484	177.515	0.338	
6.193	-0.0292969	-0.0146484	177.515	0.338	
6.1935	-0.0292969	-0.0146484	177.515	0.338	
6.194	-0.0292969	-0.0146484	177.515	0.338	
6.1945	-0.0292969	-0.0146484	177.515	0.338	
6.195	-0.0292969	-0.0146484	177.515	0.338	
6.1955	-0.0292969	-0.0146484	177.515	0.338	
6.196	-0.0317383	-0.0146484	177.515	0.338	
6.1965	-0.0317383	-0.0146484	177.515	0.338	
6.197	-0.0317383	-0.0146484	177.515	0.338	
6.1975	-0.0341797	-0.0146484	177.515	0.338	
6.198	-0.0341797	-0.0146484	177.515	0.338	
6.1985	-0.0341797	-0.0146484	177.515	0.338	
6.199	-0.0341797	-0.0146484	177.515	0.338	
6.1995	-0.0341797	-0.0146484	177.515	0.338	
6.2	-0.0341797	-0.0146484	177.515	0.338	
6.2005	-0.0341797	-0.0146484	177.515	0.338	
6.201	-0.0317383	-0.0146484	177.515	0.338	
6.2015	-0.0317383	-0.0146484	177.515	0.338	
6.202	-0.0292969	-0.0146484	177.515	0.338	
6.2025	-0.0244141	-0.0146484	177.515	0.338	
6.203	-0.0219727	-0.0146484	177.515	0.338	
6.2035	-0.0195313	-0.0146484	177.515	0.338	
6.204	-0.0170898	-0.0146484	177.515	0.338	
6.2045	-0.0146484	-0.0146484	177.515	0.338	
6.205	-0.012207	-0.0146484	177.515	0.338	
6.2055	-0.00976563	-0.0146484	177.515	0.338	
6.206	-0.00732422	-0.0146484	177.515	0.338	
6.2065	-0.00732422	-0.0146484	177.515	0.338	
6.207	-0.00732422	-0.0146484	177.515	0.338	
6.2075	-0.00488281	-0.0146484	177.515	0.338	
6.208	-0.00488281	-0.0146484	177.515	0.338	
6.2085	-0.00488281	-0.0146484	177.515	0.338	
6.209	-0.00244141	-0.0146484	177.515	0.338	
6.2095	-0.00244141	-0.0146484	177.515	0.338	
6.21	-0.00244141	-0.0146484	177.515	0.338	
6.2105	-0.00244141	-0.0146484	177.515	0.338	
6.211	-0.00244141	-0.0146484	177.515	0.338	
6.2115	0	-0.0146484	177.515	0.338	
6.212	0	-0.0195313	177.515	0.338	
6.2125	0	-0.0195313	177.515	0.338	
6.213	0	-0.0195313	177.515	0.338	
6.2135	0	-0.0195313	177.515	0.338	
6.214	0	-0.0195313	177.515	0.338	
6.2145	0	-0.0195313	177.515	0.338	
6.215	0	-0.0195313	177.515	0.338	
6.2155	0	-0.0195313	177.515	0.338	
6.216	0	-0.0195313	177.515	0.338	
6.2165	0	-0.0195313	177.515	0.338	
6.217	0.00244141	-0.0195313	177.515	0.338	
6.2175	0.00244141	-0.0195313	177.515	0.338	
6.218	0.00244141	-0.0195313	177.515	0.338	
6.2185	0.00244141	-0.0195313	177.515	0.338	
6.219	0.00244141	-0.0195313	177.515	0.338	
6.2195	0.00244141	-0.0195313	177.515	0.338	
6.22	0.00244141	-0.0195313	177.515	0.338	
6.2205	0.00244141	-0.0195313	177.515	0.338	
6.221	0.00244141	-0.0195313	177.515	0.338	
6.2215	0.00488281	-0.0195313	177.515	0.338	
6.222	0.00488281	-0.0195313	177.515	0.338	
6.2225	0.00732422	-0.0195313	177.515	0.338	
6.223	0.00732422	-0.0195313	177.515	0.338	
6.2235	0.00976563	-0.0195313	177.515	0.338	
6.224	0.00976563	-0.0195313	177.515	0.338	
6.2245	0.00976563	-0.0195313	177.515	0.338	
6.225	0.00976563	-0.0195313	177.515	0.338	
6.2255	0.00732422	-0.0195313	177.515	0.338	
6.226	0.00732422	-0.0195313	177.515	0.338	
6.2265	0.00488281	-0.0146484	177.515	0.338	
6.227	0.00488281	-0.0146484	177.515	0.338	
6.2275	0.00244141	-0.0146484	177.515	0.338	
6.228	0.00244141	-0.0146484	177.515	0.338	
